Province,Year,Year imputed,Region imputed,Regional GDP imputed,Secondary industry value added imputed,Tertiary industry value added from Long imputed,Industrial value added from Long imputed,Total electricity generation imputed,Population imputed,Hydropower generation from Long imputed,Raw coal production from Long imputed,Non fossil electricity generation imputed,SO2 emissions imputed,Natural gas production from Long imputed,Total apparent CO2 emissions (mt) imputed
吉林省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
辽宁省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
黑龙江,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
上海市,1990,False,False,False,False,False,False,False,False,True,True,True,False,True,True
北京市,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
天津市,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
山东省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广东省,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
江苏省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
河北省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
浙江省,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
海南省,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
福建省,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
安徽省,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
山西省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
江西省,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
河南省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖北省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖南省,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
云南省,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
内蒙古,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
四川省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
宁夏,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广西,1990,False,False,False,False,False,False,False,False,False,False,False,False,True,True
新疆,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
甘肃省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
西藏,1990,False,False,False,False,False,False,False,False,False,False,False,True,True,True
贵州省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
重庆市,1990,False,False,False,False,False,False,False,False,False,False,False,True,False,True
陕西省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
青海省,1990,False,False,False,False,False,False,False,False,False,False,False,False,False,True
吉林省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
辽宁省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
黑龙江,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
上海市,1991,False,False,False,False,False,False,False,False,True,False,True,False,True,True
北京市,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
天津市,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
山东省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广东省,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
江苏省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
河北省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
浙江省,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
海南省,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
福建省,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
安徽省,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
山西省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
江西省,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
河南省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖北省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖南省,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
云南省,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
内蒙古,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
四川省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
宁夏,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广西,1991,False,False,False,False,False,False,False,False,False,False,False,False,True,True
新疆,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
甘肃省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
西藏,1991,False,False,False,False,False,False,False,False,False,False,False,True,True,True
贵州省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
重庆市,1991,False,False,False,False,False,False,False,False,True,False,True,True,False,True
陕西省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
青海省,1991,False,False,False,False,False,False,False,False,False,False,False,False,False,True
吉林省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
辽宁省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
黑龙江,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
上海市,1992,False,False,False,False,False,False,False,False,True,False,True,False,True,True
北京市,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
天津市,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
山东省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广东省,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
江苏省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
河北省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
浙江省,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
海南省,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
福建省,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
安徽省,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
山西省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
江西省,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
河南省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖北省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖南省,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
云南省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
内蒙古,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
四川省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
宁夏,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广西,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
新疆,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
甘肃省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
