Province,Year,Region,Regional GDP,Secondary industry value added,Tertiary industry value added from Long,GDP per capita from Long,Industrial value added from Long,Total electricity generation,Population,Hydropower generation from Long,Raw coal production from Long,Non fossil electricity generation,SO2 emissions,Natural gas production from Long,Total apparent CO2 emissions (mt),Total energy consumption
吉林省,1990,东北地区,425.28,182.15,118.14,1746.0,163.82,174.46,2440.2,45.82,2610.25,45.82,26.0,0.98,,3523.4
辽宁省,1990,东北地区,1062.7,539.2,356.9,2698.0,482.9,435.8,3946.0,35.5,5101.0,35.5,97.0,20.4,,7170.8
黑龙江,1990,东北地区,654.0,343.1,154.0,1855.0,323.9,295.2,3543.0,5.92,8263.48,5.92,30.0,22.47,,5285.0
上海市,1990,东部地区,781.66,505.6,241.82,5900.0,469.83,284.1,1337.0,,,,42.0,,,3191.06
北京市,1990,东部地区,500.8,262.0,195.1,4635.0,219.3,125.4,1086.0,2.1,1005.5,2.1,34.0,,,2709.7
天津市,1990,东部地区,310.95,181.38,102.25,3487.0,165.59,95.03,884.0,0.18,469.5,0.18,22.0,3.66,,2071.0
山东省,1990,东部地区,1511.19,635.98,449.92,1815.0,568.25,446.4,8493.0,0.43,5995.43,0.43,193.0,14.39,,6830.0
广东省,1990,东部地区,1559.03,615.86,558.58,2484.0,523.42,343.98,6346.0,77.18,889.76,77.18,40.0,,,4044.28
江苏省,1990,东部地区,1416.5,692.59,368.74,2130.0,634.13,404.47,6766.9,0.53,2407.79,0.53,100.0,0.38,,5509.0
河北省,1990,东部地区,896.3,387.5,280.9,1465.0,354.3,368.97,6158.88,7.1,6242.97,7.1,89.0,2.94,,6124.22
浙江省,1990,东部地区,904.69,408.18,271.47,2143.0,363.74,208.7,4234.91,56.0,136.99,56.0,44.0,,,2732.86
海南省,1990,东部地区,102.42,20.19,36.52,1562.0,13.16,13.96,663.0,7.81,1.3,7.81,1.0,,,121.0
福建省,1990,东部地区,522.28,174.47,200.8,1735.0,150.55,136.65,3037.0,78.14,925.37,78.14,12.0,,,1458.3
安徽省,1990,中部地区,658.02,251.5,160.42,1182.0,223.31,194.22,5675.0,13.34,3205.39,13.34,38.0,,,2761.0
山西省,1990,中部地区,429.27,210.07,138.39,1528.0,186.61,314.2,2899.0,7.15,28597.0,7.15,78.0,0.6,,4710.0
江西省,1990,中部地区,428.62,133.56,119.1,1134.0,116.5,121.41,3810.6418,27.77,2027.11,27.77,30.0,,,1732.3
河南省,1990,中部地区,934.65,331.85,277.03,1091.0,288.6,319.14,8649.0,15.53,9080.44,15.53,49.0,13.89,,5206.0
湖北省,1990,中部地区,824.38,313.39,222.6,1541.0,284.15,340.39,5439.29,241.88,924.26,241.88,56.0,0.76,,3997.0
湖南省,1990,中部地区,744.44,249.98,215.37,1228.0,220.69,201.4,6128.0,106.12,3371.0,106.12,55.0,,,3821.0
云南省,1990,西部地区,451.67,157.8,125.74,1224.0,142.77,125.78,3730.6,75.46,2227.0,75.46,23.0,,,1954.18
内蒙古,1990,西部地区,319.31,102.43,104.31,1478.0,87.18,169.54,2162.6,0.7,4762.0,0.7,53.0,,,2423.51
四川省,1990,西部地区,890.95,312.64,256.9,1136.0,276.08,342.64,10804.0,151.36,6785.0,151.36,148.0,66.21,,6312.3
宁夏,1990,西部地区,64.84,25.34,22.66,1409.0,21.29,55.96,465.6774,10.97,1443.1,10.97,13.0,0.07,,707.3
广西,1990,西部地区,449.06,118.45,153.84,1066.0,104.79,125.62,4261.0,68.9,979.45,68.9,60.0,,,1308.21
新疆,1990,西部地区,261.44,84.0,74.17,1713.0,71.5,69.79,1529.0,14.33,2100.2,14.33,16.0,5.02,,2063.0
甘肃省,1990,西部地区,242.8,98.33,80.41,1094.0,83.93,171.39,2254.67,106.54,1564.11,106.54,36.0,0.33,,2172.0
西藏,1990,西部地区,27.7,3.6,10.0,1276.0,1.92,3.16,222.0,2.48,0.9,2.48,,,,
贵州省,1990,西部地区,260.14,92.83,67.21,808.0,82.15,1.99,3268.0,1.24,3694.91,1.24,56.26,0.28,,2133.0
重庆市,1990,西部地区,327.75,135.62,91.73,1181.0,117.6,73.75,2886.62,10.45,1600.56,10.45,,34.59,,1301.67
